timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645600926740,1501,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5419,317,1,1,null,0,3,0
1645600926742,1501,38 launch,200,,Thread Group 1-1,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,1501,0,1232
1645600928244,227,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3849,445,1,1,null,0,0,0
1645600928244,227,39 sign in,200,,Thread Group 1-1,text,true,,3849,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,227,0,0
1645600930073,1596,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5419,317,2,2,null,0,1,0
1645600930074,1596,38 launch,200,,Thread Group 1-2,text,true,,5419,317,2,2,https://petstore.octoperf.com/actions/Catalog.action,1596,0,1337
1645600931671,254,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,3847,445,2,2,null,0,0,0
1645600931671,254,39 sign in,200,,Thread Group 1-2,text,true,,3847,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,254,0,0
1645600928471,4656,40 login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,25865,6465,2,2,null,0,2,0
1645600928472,519,40 login,200,,Thread Group 1-1,text,true,,5173,1293,1,1,https://petstore.octoperf.com/actions/Catalog.action,258,0,0
1645600928992,1568,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,1324,0,815
1645600930560,498,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,267,0,0
1645600931058,1563,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,1331,0,867
1645600932621,508,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,250,0,0
1645600931926,2268,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-2,,false,,19643,3905,3,3,null,0,4,0
1645600931926,239,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,2,2,https://petstore.octoperf.com/actions/Account.action,239,0,0
1645600932166,1268,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,3,3,https://petstore.octoperf.com/actions/Account.action,1268,0,796
1645600933434,273,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,3,3,https://petstore.octoperf.com/actions/Account.action,273,0,0
1645600933708,260,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,3,3,https://petstore.octoperf.com/actions/Account.action,260,0,0
1645600933969,228,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,3,3,https://petstore.octoperf.com/actions/Account.action,228,0,0
1645600933130,1494,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5021,875,3,3,null,0,1,0
1645600933130,1494,42 log out,200,,Thread Group 1-1,text,true,,5021,875,3,3,https://petstore.octoperf.com/actions/Catalog.action,1264,0,769
1645600933408,1444,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5419,317,2,2,null,0,0,0
1645600933408,1444,38 launch,200,,Thread Group 1-3,text,true,,5419,317,2,2,https://petstore.octoperf.com/actions/Catalog.action,1444,0,1210
1645600934852,250,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,3849,445,2,2,null,0,0,0
1645600934852,250,39 sign in,200,,Thread Group 1-3,text,true,,3849,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,250,0,0
1645600934198,1493,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5021,875,2,2,null,0,0,0
1645600934198,1493,42 log out,200,,Thread Group 1-2,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1243,0,761
1645600935103,2250,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-3,,false,,19651,3905,2,2,null,0,0,0
1645600935103,234,40 login,200,,Thread Group 1-3,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,2,2,https://petstore.octoperf.com/actions/Account.action,234,0,0
1645600935337,229,40 login,200,,Thread Group 1-3,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,2,2,https://petstore.octoperf.com/actions/Account.action,229,0,0
1645600935566,1315,40 login,200,,Thread Group 1-3,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,2,2,https://petstore.octoperf.com/actions/Account.action,1315,0,810
