timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645600443416,1665,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5419,317,1,1,null,0,3,0
1645600443419,1665,38 launch,200,,Thread Group 1-1,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,1665,0,1430
1645600445085,233,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3849,445,1,1,null,0,0,0
1645600445085,233,39 sign in,200,,Thread Group 1-1,text,true,,3849,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,233,0,0
1645600446746,1540,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5419,317,2,2,null,0,1,0
1645600446747,1540,38 launch,200,,Thread Group 1-2,text,true,,5419,317,2,2,https://petstore.octoperf.com/actions/Catalog.action,1540,0,1297
1645600448287,234,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,3851,445,2,2,null,0,1,0
1645600448288,234,39 sign in,200,,Thread Group 1-2,text,true,,3851,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,234,0,0
1645600445318,4465,40 login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,25865,6465,2,2,null,0,3,0
1645600445319,1483,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,245,0,0
1645600446803,510,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,244,0,0
1645600447313,489,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,244,0,0
1645600447802,1497,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,1255,0,775
1645600449300,486,40 login,200,,Thread Group 1-1,text,true,,5173,1293,2,2,https://petstore.octoperf.com/actions/Catalog.action,234,0,0
1645600448522,2263,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-2,,false,,19649,3905,3,3,null,0,3,0
1645600448522,254,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,2,2,https://petstore.octoperf.com/actions/Account.action,254,0,0
1645600448777,1298,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,2,2,https://petstore.octoperf.com/actions/Account.action,1297,0,845
1645600450075,230,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,3,3,https://petstore.octoperf.com/actions/Account.action,230,0,0
1645600450306,255,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,3,3,https://petstore.octoperf.com/actions/Account.action,255,0,0
1645600450562,226,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,3,3,https://petstore.octoperf.com/actions/Account.action,226,0,0
1645600449786,1471,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5021,875,3,3,null,0,1,0
1645600449786,1471,42 log out,200,,Thread Group 1-1,text,true,,5021,875,3,3,https://petstore.octoperf.com/actions/Catalog.action,230,0,0
1645600450079,1472,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5419,317,2,2,null,0,1,0
1645600450080,1472,38 launch,200,,Thread Group 1-3,text,true,,5419,317,2,2,https://petstore.octoperf.com/actions/Catalog.action,1472,0,1243
1645600451554,236,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,3849,445,2,2,null,0,1,0
1645600451554,236,39 sign in,200,,Thread Group 1-3,text,true,,3849,445,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,236,0,0
1645600450789,1465,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5021,875,2,2,null,0,0,0
1645600450789,1465,42 log out,200,,Thread Group 1-2,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1230,0,768
1645600451791,2157,40 login,200,"Number of samples in transaction : 5, number of failing samples : 5",Thread Group 1-3,,false,,19647,3905,2,2,null,0,2,0
1645600451791,231,40 login,200,,Thread Group 1-3,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,2,2,https://petstore.octoperf.com/actions/Account.action,231,0,0
