Time Stamp,elapsed,label,Response Code,Response Message,Thread Name,Data Type,success,Failure Message,bytes,Sent Bytes,Grp Threads,All Threads,URL,Latency,Idle Time,Connect
1645511869514,1933,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5419,317,3,3,null,0,3,0
1645511869516,1933,38 launch,200,,Thread Group 1-1,text,true,,5419,317,3,3,https://petstore.octoperf.com/actions/Catalog.action,1933,0,1636
1645511871452,233,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3847,445,3,3,null,0,0,0
1645511871452,233,39 sign in,200,,Thread Group 1-1,text,true,,3847,445,3,3,https://petstore.octoperf.com/actions/Account.action?signonForm=,233,0,0
1645511870182,1703,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5419,317,3,3,null,0,1,0
1645511870183,1703,38 launch,200,,Thread Group 1-2,text,true,,5419,317,3,3,https://petstore.octoperf.com/actions/Catalog.action,1697,0,1465
1645511871888,237,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,3851,445,3,3,null,0,0,0
1645511871888,237,39 sign in,200,,Thread Group 1-2,text,true,,3851,445,3,3,https://petstore.octoperf.com/actions/Account.action?signonForm=,237,0,0
1645511870849,1484,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5419,317,3,3,null,0,1,0
1645511870850,1484,38 launch,200,,Thread Group 1-3,text,true,,5419,317,3,3,https://petstore.octoperf.com/actions/Catalog.action,1479,0,1239
1645511872335,230,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,3847,445,3,3,null,0,0,0
1645511872335,230,39 sign in,200,,Thread Group 1-3,text,true,,3847,445,3,3,https://petstore.octoperf.com/actions/Account.action?signonForm=,230,0,0
1645511871686,1560,40 login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,10128,1763,3,3,null,0,1,0
1645511871686,1325,40 login,200,,Thread Group 1-1,text,true,,5173,1293,3,3,https://petstore.octoperf.com/actions/Catalog.action,1083,0,658
1645511873012,235,41 login,200,,Thread Group 1-1,text,true,,4955,470,3,3,https://petstore.octoperf.com/actions/Catalog.action,235,0,0
1645511872126,1732,40 login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,10128,1763,3,3,null,0,0,0
1645511872126,1470,40 login,200,,Thread Group 1-2,text,true,,5173,1293,3,3,https://petstore.octoperf.com/actions/Catalog.action,251,0,0
1645511873597,262,41 login,200,,Thread Group 1-2,text,true,,4955,470,3,3,https://petstore.octoperf.com/actions/Catalog.action,262,0,0
1645511872566,1638,40 login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,10128,1763,3,3,null,0,1,0
1645511872566,453,40 login,200,,Thread Group 1-3,text,true,,5173,1293,3,3,https://petstore.octoperf.com/actions/Catalog.action,216,0,0
1645511873020,1185,41 login,200,,Thread Group 1-3,text,true,,4955,470,3,3,https://petstore.octoperf.com/actions/Catalog.action,1185,0,661
1645511873248,1478,42 log out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,9749,1308,3,3,null,0,2,0
1645511873249,442,42 log out,200,,Thread Group 1-1,text,true,,5021,875,3,3,https://petstore.octoperf.com/actions/Catalog.action,215,0,0
1645511873692,1036,43 log out,200,,Thread Group 1-1,text,true,,4728,433,3,3,https://petstore.octoperf.com/actions/Catalog.action,1036,0,606
1645511874207,861,42 log out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,9749,1308,2,2,null,0,2,0
1645511874208,559,42 log out,200,,Thread Group 1-3,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,270,0,0
1645511874767,302,43 log out,200,,Thread Group 1-3,text,true,,4728,433,2,2,https://petstore.octoperf.com/actions/Catalog.action,302,0,0
1645511873860,1673,42 log out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,9749,1308,1,1,null,0,2,0
1645511873861,582,42 log out,200,,Thread Group 1-2,text,true,,5021,875,3,3,https://petstore.octoperf.com/actions/Catalog.action,297,0,0
1645511874444,1091,43 log out,200,,Thread Group 1-2,text,true,,4728,433,1,1,https://petstore.octoperf.com/actions/Catalog.action,1091,0,626
