timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645675520876,2258,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5419,317,1,1,null,0,3021,0
1645675523894,2258,38 launch,200,,Thread Group 1-1,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,2257,0,1953
1645675526164,2506,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3849,445,1,1,null,0,3001,0
1645675529165,2506,39 sign in,200,,Thread Group 1-1,text,true,,3849,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,2506,0,1314
1645675531672,1503,40 login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5173,1293,1,1,null,0,3015,0
1645675534684,1503,40 login,200,,Thread Group 1-1,text,true,,5173,1293,1,1,https://petstore.octoperf.com/actions/Catalog.action,1245,0,781
1645675536190,1526,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5021,875,2,2,null,0,3003,0
1645675539193,1526,42 log out,200,,Thread Group 1-1,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1260,0,813
1645675537519,1481,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5419,317,1,1,null,0,3015,0
1645675540533,1481,38 launch,200,,Thread Group 1-2,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,1481,0,1215
1645675542017,1276,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,3851,445,1,1,null,0,3006,0
1645675545024,1276,39 sign in,200,,Thread Group 1-2,text,true,,3851,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,1276,0,768
1645675546301,1281,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-2,,false,,3927,781,1,1,null,0,3005,0
1645675549304,1281,40 login,200,,Thread Group 1-2,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,1,1,https://petstore.octoperf.com/actions/Account.action,1281,0,749
1645675550589,1492,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5021,875,2,2,null,0,3005,0
1645675553594,1492,42 log out,200,,Thread Group 1-2,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1237,0,766
1645675554187,1634,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5419,317,1,1,null,0,3017,0
1645675557204,1634,38 launch,200,,Thread Group 1-3,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,1634,0,1361
1645675558839,1290,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,3849,445,1,1,null,0,3001,0
1645675561839,1290,39 sign in,200,,Thread Group 1-3,text,true,,3849,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,1290,0,753
1645675563130,1234,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-3,,false,,3929,781,1,1,null,0,3004,0
1645675566134,1234,40 login,200,,Thread Group 1-3,text,false,Test failed: text expected not to contain /Signon failed/,3929,781,1,1,https://petstore.octoperf.com/actions/Account.action,1234,0,741
1645675567368,1547,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5021,875,2,2,null,0,3003,0
1645675570371,1547,42 log out,200,,Thread Group 1-3,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1276,0,740
1645675570855,1438,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5419,317,1,1,null,0,3002,0
1645675573856,1438,38 launch,200,,Thread Group 1-4,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,1438,0,1207
1645675575294,1189,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,3849,445,1,1,null,0,3008,0
1645675578303,1189,39 sign in,200,,Thread Group 1-4,text,true,,3849,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,1189,0,730
1645675579492,1219,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-4,,false,,3927,781,1,1,null,0,3009,0
1645675582501,1219,40 login,200,,Thread Group 1-4,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,1,1,https://petstore.octoperf.com/actions/Account.action,1219,0,768
1645675583718,1418,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5021,875,2,2,null,0,3014,0
1645675586731,1418,42 log out,200,,Thread Group 1-4,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1191,0,738
1645675587519,1876,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5419,317,1,1,null,0,3017,0
1645675590537,1876,38 launch,200,,Thread Group 1-5,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,1876,0,1646
1645675592414,1194,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,3851,445,1,1,null,0,3011,0
1645675595425,1194,39 sign in,200,,Thread Group 1-5,text,true,,3851,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,1194,0,741
1645675596620,1206,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-5,,false,,3931,781,1,1,null,0,3003,0
1645675599623,1206,40 login,200,,Thread Group 1-5,text,false,Test failed: text expected not to contain /Signon failed/,3931,781,1,1,https://petstore.octoperf.com/actions/Account.action,1206,0,743
1645675600830,1843,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5021,875,2,2,null,0,3013,0
1645675603842,1843,42 log out,200,,Thread Group 1-5,text,true,,5021,875,2,2,https://petstore.octoperf.com/actions/Catalog.action,1611,0,799
1645675604186,1534,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5419,317,1,1,null,0,3009,0
1645675607195,1534,38 launch,200,,Thread Group 1-6,text,true,,5419,317,1,1,https://petstore.octoperf.com/actions/Catalog.action,1533,0,1310
1645675608729,2310,39 sign in,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,3851,445,1,1,null,0,3002,0
1645675611730,2310,39 sign in,200,,Thread Group 1-6,text,true,,3851,445,1,1,https://petstore.octoperf.com/actions/Account.action?signonForm=,2310,0,742
1645675614041,1217,40 login,200,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-6,,false,,3927,781,1,1,null,0,3015,0
1645675617055,1217,40 login,200,,Thread Group 1-6,text,false,Test failed: text expected not to contain /Signon failed/,3927,781,1,1,https://petstore.octoperf.com/actions/Account.action,1217,0,750
1645675618274,1518,42 log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5021,875,1,1,null,0,3007,0
1645675621281,1518,42 log out,200,,Thread Group 1-6,text,true,,5021,875,1,1,https://petstore.octoperf.com/actions/Catalog.action,1250,0,758
1645677352776,3528,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-1,,true,,5419,317,10,10,null,0,3003,0
1645677355779,3528,38 launch,200,,jp@gc - Stepping Thread Group 1-1,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,3528,0,3286
1645677355271,1454,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-6,,true,,5419,317,10,10,null,0,3000,0
1645677358271,1454,38 launch,200,,jp@gc - Stepping Thread Group 1-6,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,1453,0,1219
1645677354772,2393,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-5,,true,,5419,317,10,10,null,0,3004,0
1645677353272,3897,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-2,,true,,5419,317,10,10,null,0,3000,0
1645677357776,2393,38 launch,200,,jp@gc - Stepping Thread Group 1-5,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,2393,0,2150
1645677356272,3897,38 launch,200,,jp@gc - Stepping Thread Group 1-2,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,3897,0,3657
1645677355772,1444,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-7,,true,,5419,317,10,10,null,0,3013,0
1645677358785,1444,38 launch,200,,jp@gc - Stepping Thread Group 1-7,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,1444,0,1206
1645677354274,3090,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-4,,true,,5419,317,10,10,null,0,3001,0
1645677357275,3090,38 launch,200,,jp@gc - Stepping Thread Group 1-4,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,3089,0,2789
1645677356271,1482,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-8,,true,,5419,317,10,10,null,0,3001,0
1645677359272,1482,38 launch,200,,jp@gc - Stepping Thread Group 1-8,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,1481,0,1234
1645677356772,1432,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-9,,true,,5419,317,10,10,null,0,3012,0
1645677359784,1432,38 launch,200,,jp@gc - Stepping Thread Group 1-9,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,1432,0,1204
1645677353771,4677,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-3,,true,,5419,317,10,10,null,0,3006,0
1645677356777,4677,38 launch,200,,jp@gc - Stepping Thread Group 1-3,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,4677,0,4434
1645677357273,1409,38 launch,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Stepping Thread Group 1-10,,true,,5419,317,10,10,null,0,3008,0
1645677360281,1409,38 launch,200,,jp@gc - Stepping Thread Group 1-10,text,true,,5419,317,10,10,https://petstore.octoperf.com/actions/Catalog.action,1409,0,1182
